logical_layer,module_l1,module_l2,module_l3,file_count,code_file_count,test_file_count,total_lines,code_lines,dominant_capability,dominant_capability_line_share
docs,docs,docs,docs,14,0,0,4768,0,,0.0000
docs,docs/analysis,docs/analysis,docs/analysis,15,0,0,1678,0,,0.0000
docs,docs/analytics,docs/analytics,docs/analytics,1,0,0,16,0,,0.0000
docs,docs/error-experience,docs/error-experience,docs/error-experience,2,0,0,20,0,,0.0000
docs,docs/error-experience,docs/error-experience/entries,docs/error-experience/entries,36,0,0,1003,0,,0.0000
docs,docs/error-experience,docs/error-experience/summary,docs/error-experience/summary/entries,49,0,0,217,0,,0.0000
docs,docs/good-experience,docs/good-experience,docs/good-experience,2,0,0,20,0,,0.0000
docs,docs/good-experience,docs/good-experience/entries,docs/good-experience/entries,46,0,0,753,0,,0.0000
docs,docs/good-experience,docs/good-experience/summary,docs/good-experience/summary/entries,46,0,0,140,0,,0.0000
docs,docs/guides,docs/guides,docs/guides,7,0,0,424,0,,0.0000
docs,docs/memory,docs/memory,docs/memory,3,0,0,134,0,,0.0000
docs,docs/operations,docs/operations,docs/operations,6,0,0,509,0,,0.0000
docs,docs/plans,docs/plans,docs/plans,471,0,0,31161,0,,0.0000
docs,docs/reference,docs/reference,docs/reference,19,0,0,2486,0,,0.0000
docs,docs/reference,docs/reference/images,docs/reference/images,6,0,0,0,0,,0.0000
docs,docs/research,docs/research,docs/research,17,0,0,2373,0,,0.0000
docs,docs/reviews,docs/reviews,docs/reviews,8,0,0,723,0,,0.0000
docs,docs/roadmap,docs/roadmap/draft,docs/roadmap/draft,6,0,0,1861,0,,0.0000
docs,docs/roadmap,docs/roadmap,docs/roadmap,3,0,0,661,0,,0.0000
evaluation,evaluation/agent_eval,evaluation/agent_eval/datasets,evaluation/agent_eval/datasets,65,0,0,6091,0,,0.0000
evaluation,evaluation/agent_eval,evaluation/agent_eval/report_templates,evaluation/agent_eval/report_templates,1,0,0,86,0,,0.0000
evaluation,evaluation/skills_e2e,evaluation/skills_e2e,evaluation/skills_e2e,1,0,0,414,0,,0.0000
evaluation,evaluation/swe_bench,evaluation/swe_bench/real_test_results,evaluation/swe_bench/real_test_results,6,0,0,418,0,,0.0000
root,examples/config,examples/config,examples/config,6,0,0,154,0,,0.0000
root,examples/local_av,examples/local_av,examples/local_av,1,0,0,50,0,,0.0000
root,go.mod,go.mod,go.mod,1,0,0,99,0,,0.0000
root,go.sum,go.sum,go.sum,1,0,0,278,0,,0.0000
root,models/functiongemma,models/functiongemma,models/functiongemma,1,0,0,0,0,,0.0000
root,npm/alex-darwin-amd64,npm/alex-darwin-amd64,npm/alex-darwin-amd64,1,0,0,34,0,,0.0000
root,npm/alex-darwin-arm64,npm/alex-darwin-arm64,npm/alex-darwin-arm64,1,0,0,34,0,,0.0000
root,npm/alex-linux-amd64,npm/alex-linux-amd64,npm/alex-linux-amd64,1,0,0,34,0,,0.0000
root,npm/alex-linux-arm64,npm/alex-linux-arm64,npm/alex-linux-arm64,1,0,0,34,0,,0.0000
root,npm/alex-windows-amd64,npm/alex-windows-amd64/bin,npm/alex-windows-amd64/bin,1,0,0,2,0,,0.0000
root,npm/alex-windows-amd64,npm/alex-windows-amd64,npm/alex-windows-amd64,1,0,0,34,0,,0.0000
root,proto/materials,proto/materials/v1,proto/materials/v1,1,0,0,168,0,,0.0000
root,pytest.ini,pytest.ini,pytest.ini,1,0,0,2,0,,0.0000
root,rfc,rfc,rfc,1,0,0,9,0,,0.0000
skills,skills/code-review,skills/code-review/references,skills/code-review/references,4,0,0,423,0,,0.0000
tests,tests/acceptance,tests/acceptance,tests/acceptance,1,0,1,17,0,,0.0000
tests,tests/acceptance,tests/acceptance/results,tests/acceptance/results,4,0,4,57,0,,0.0000
tests,tests/config,tests/config,tests/config,1,0,1,511,0,,0.0000
tests,tests/scenarios,tests/scenarios/lark,tests/scenarios/lark,12,0,12,344,0,,0.0000
root,third_party/sqlite-vec-go-bindings,third_party/sqlite-vec-go-bindings,third_party/sqlite-vec-go-bindings,2,0,0,32,0,,0.0000
web,web/docs,web/docs,web/docs,13,0,0,3216,0,,0.0000
web,web/docs,web/docs/plans,web/docs/plans,1,0,0,135,0,,0.0000
web,web/e2e,web/e2e/fixtures,web/e2e/fixtures,1,0,1,0,0,,0.0000
web,web/lib,web/lib/generated,web/lib/generated,1,0,0,228,0,,0.0000
web,web/public,web/public,web/public,2,0,0,0,0,,0.0000
web,web/tests,web/tests,web/tests,3,0,3,990,0,,0.0000
